,Estado,data,Prec_min,Prec_mean,Prec_max,ano,mes,dia
229,TO,2022-05-10,0.0,0.02677417950957592,2.5063989348709583,2022,05,10
230,MT,2022-05-10,0.0,0.11012008764102169,14.680609781295061,2022,05,10
231,PR,2022-05-10,0.0,7.244272651322289,32.17685607075691,2022,05,10
232,PA,2022-05-10,0.0,5.914362768523157,109.34431814262643,2022,05,10
233,BA,2022-05-10,0.0,0.03312427714917701,7.5810672380030155,2022,05,10
234,RN,2022-05-10,0.0,3.4769847878137625,27.85837151762098,2022,05,10
235,RJ,2022-05-10,0.0,0.020819813833362455,2.217393127270043,2022,05,10
236,SP,2022-05-10,0.0,0.24732209755016524,12.413906539394475,2022,05,10
237,CE,2022-05-10,0.0,2.846540709841102,41.43368579729364,2022,05,10
238,PE,2022-05-10,0.0,0.26963172251492257,7.5810672380030155,2022,05,10
239,PI,2022-05-10,0.0,0.97617163244216,24.794592022422233,2022,05,10
240,PB,2022-05-10,0.0,1.0613797405326868,8.775651584379375,2022,05,10
241,RS,2022-05-10,0.13717842492482646,5.9134870060007225,23.121009851805866,2022,05,10
242,GO,2022-05-10,0.0,0.011589772767652906,10.226107926573604,2022,05,10
243,DF,2022-05-11,0.0,0.0033043115975987295,0.11416757106781006,2022,05,11
244,RR,2022-05-11,0.0,3.9935375363321666,77.68574883183464,2022,05,11
245,AP,2022-05-11,0.0,3.761966403035677,23.068842586129904,2022,05,11
246,AC,2022-05-11,0.002218408695661367,4.855023646699207,33.48687611449266,2022,05,11
247,MA,2022-05-11,0.0,0.9306583854010213,19.27313152429617,2022,05,11
248,SC,2022-05-11,0.0,1.8264271678283477,14.801404816564173,2022,05,11
249,RO,2022-05-11,0.0,3.3143965703541514,85.34778991341591,2022,05,11
250,AM,2022-05-11,0.0,3.0600095459205883,75.02890314857875,2022,05,11
251,SE,2022-05-11,0.0,0.05648688766388595,5.5022828839719296,2022,05,11
252,MS,2022-05-11,0.0,3.0732705185319746,35.66022816300392,2022,05,11
253,MG,2022-05-11,0.0,0.10373591512564201,9.185989585544297,2022,05,11
254,AL,2022-05-11,0.0,0.7868232946154008,10.958442975766957,2022,05,11
255,ES,2022-05-11,0.0,0.05996414761125469,4.141864776611328,2022,05,11
256,TO,2022-05-11,0.0,0.03679502233577541,13.9087518081069,2022,05,11
257,MT,2022-05-11,0.0,0.4288449339022787,73.09506249427795,2022,05,11
258,PR,2022-05-11,0.0,1.116339000824654,11.283713392913342,2022,05,11
259,PA,2022-05-11,0.0,2.3170038769261816,84.33472866291413,2022,05,11
260,BA,2022-05-11,0.0,0.11230028532802554,26.220948457717896,2022,05,11
261,RN,2022-05-11,0.0,9.19370515939973,122.35135705767675,2022,05,11
262,RJ,2022-05-11,0.0,0.0015438955297592976,0.4658906161785126,2022,05,11
263,SP,2022-05-11,0.0,3.4632125624229757,26.413804847747087,2022,05,11
264,CE,2022-05-11,0.0,2.9885347956838206,24.990066002937965,2022,05,11
265,PE,2022-05-11,0.0,0.3750259626156823,31.73764346504718,2022,05,11
266,PI,2022-05-11,0.0,0.6338725853301888,22.605651104608704,2022,05,11
267,PB,2022-05-11,0.0,1.157025500078514,20.573823934274998,2022,05,11
268,RS,2022-05-11,0.0,1.8007997026797689,76.21226254735826,2022,05,11
269,GO,2022-05-11,0.0,0.14079908184470094,9.185989585544297,2022,05,11
270,DF,2022-05-12,0.0,0.06502053935233591,2.506898345425725,2022,05,12
271,RR,2022-05-12,0.0,4.022488430848536,43.49926495552063,2022,05,12
272,AP,2022-05-12,0.0,2.8983331712210068,22.844962295090134,2022,05,12
273,AC,2022-05-12,0.0,4.544998022418406,29.865134045481682,2022,05,12
274,MA,2022-05-12,0.0,1.312384070281588,25.915824292227626,2022,05,12
275,SC,2022-05-12,0.0,0.0013249193428598858,0.5042209532111883,2022,05,12
276,RO,2022-05-12,0.0,2.2267619382835595,25.283504872432673,2022,05,12
277,AM,2022-05-12,0.0,5.118056244395048,60.635916765313596,2022,05,12
278,SE,2022-05-12,0.0,0.0,0.0,2022,05,12
279,MS,2022-05-12,0.0,0.31030234099998194,7.1872398648411036,2022,05,12
280,MG,2022-05-12,0.0,1.1103790485444316,24.374317552894354,2022,05,12
281,AL,2022-05-12,0.0,0.2636470120548732,14.689837604761124,2022,05,12
282,ES,2022-05-12,0.0,1.4982408276842718,17.868456578826,2022,05,12
283,TO,2022-05-12,0.0,0.4811046168467305,23.65872310101986,2022,05,12
284,MT,2022-05-12,0.0,0.6684240735977238,23.931630347535247,2022,05,12
285,PR,2022-05-12,0.0,0.0009052985982909851,0.92711590975523,2022,05,12
286,PA,2022-05-12,0.0,2.6463492376029802,42.26007327623665,2022,05,12
287,BA,2022-05-12,0.0,0.09636947313121938,50.856211689529204,2022,05,12
288,RN,2022-05-12,0.0,6.755701779494938,44.14407531172037,2022,05,12
289,RJ,2022-05-12,0.0,1.7718808157452055,16.11864110158058,2022,05,12
290,SP,2022-05-12,0.0,0.4990812006717288,15.572520507499576,2022,05,12
291,CE,2022-05-12,0.0,4.233928134078757,46.251749729728175,2022,05,12
292,PE,2022-05-12,0.0,0.44322439183100265,20.139693588018417,2022,05,12
293,PI,2022-05-12,0.0,1.6977453073408473,21.400600121144052,2022,05,12
294,PB,2022-05-12,0.0,1.8653326914873078,26.302015341818333,2022,05,12
295,RS,2022-05-12,0.0,0.003409449866462024,1.0488470867276192,2022,05,12
296,GO,2022-05-12,0.0,0.25883633564009306,11.581326682819054,2022,05,12
297,DF,2022-05-13,0.0,0.14302307940173925,5.9345768466591835,2022,05,13
298,RR,2022-05-13,0.0,13.724981829688822,135.4383996335091,2022,05,13
299,AP,2022-05-13,0.0,2.9190642783649534,17.796151634305716,2022,05,13
300,AC,2022-05-13,0.0,0.0031002659696688886,0.813074660487473,2022,05,13
301,MA,2022-05-13,0.0,3.0938436863201604,42.039399788576304,2022,05,13
302,SC,2022-05-13,0.0,0.0,0.0,2022,05,13
303,RO,2022-05-13,0.0,0.08595137828803302,6.096871852874756,2022,05,13
304,AM,2022-05-13,0.0,3.1240060908198335,61.73001160192535,2022,05,13
305,SE,2022-05-13,0.0,0.026039753842544304,1.735261283814907,2022,05,13
306,MS,2022-05-13,0.0,0.05424990805309427,11.06920097721597,2022,05,13
307,MG,2022-05-13,0.0,0.11183689641256678,8.3950129696168,2022,05,13
308,AL,2022-05-13,0.0,1.655861318478102,33.87749198265374,2022,05,13
309,ES,2022-05-13,0.0,0.18785914475048246,3.8707728534936905,2022,05,13
310,TO,2022-05-13,0.0,0.35229356157896885,14.865403957664967,2022,05,13
311,MT,2022-05-13,0.0,0.19242637571566293,11.06920097721597,2022,05,13
312,PR,2022-05-13,0.0,0.0,0.0,2022,05,13
313,PA,2022-05-13,0.0,2.14658457213877,39.67798320762813,2022,05,13
314,BA,2022-05-13,0.0,0.04086797098507147,15.535055011510849,2022,05,13
315,RN,2022-05-13,0.0058997017331421375,9.626685111927115,54.3171020722948,2022,05,13
316,RJ,2022-05-13,0.0,0.009794493745799663,1.779083888977766,2022,05,13
317,SP,2022-05-13,0.0,0.0006573253445667994,0.4190082848072052,2022,05,13
318,CE,2022-05-13,0.0,4.783997763907774,93.65232191234827,2022,05,13
319,PE,2022-05-13,0.0,0.9939143043158373,26.690330751240253,2022,05,13
320,PI,2022-05-13,0.0,1.9709845633469287,25.636234913021326,2022,05,13
321,PB,2022-05-13,0.0,8.891133410349763,68.24782203417271,2022,05,13
322,RS,2022-05-13,0.0,0.008390470699440487,1.3524774001452897,2022,05,13
323,GO,2022-05-13,0.0,0.18778600087201494,6.259758740663528,2022,05,13
324,DF,2022-05-14,0.0,0.09404115549341527,1.8554067611694336,2022,05,14
325,RR,2022-05-14,0.0,1.6321268142483765,20.07150662317872,2022,05,14
326,AP,2022-05-14,0.0070668938823433836,4.882154761255506,21.085417270209238,2022,05,14
